eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	ACADEMIA PAULISTA DE LETRAS	LG DO AROUCHE, 312/324	3331-7222	CENTRO		4	6	613	355030866000102	3550308005003	66	SANTA CECILIA	9	SE	CENTRO	CENTRO	"A INSTITUIÇÃO; LITERATURA BRASILEIRA"				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ACERVO DA CHOQUE	R DR.BRÁULIO GOMES, N? 125/ 139 - CENTRO 01047-020		CENTRO	01047-020	1	2	87	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	AFFONSO TAUNAY	R TAQUARI, 549	6292-5126	MOOCA	03166-00	1	2	60	355030853000057	3550308005017	53	MOOCA	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA	19650202	25	ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	AFONSO SCHMIDT	AV ELÍSIO T. LEITE, 1.470	3975-2305	VILA CRUZ DAS ALMAS	02801-00	1	2	108	355030829000168	3550308005119	29	FREGUESIA DO O	3	FREGUESIA-BRASILANDIA	NORTE	NORTE 2	BIBLIOTECA	19660416	25	ATENDE ÀS NORMAS	NÃO
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	AFPESP - ASSOCIAÇÃODOS FUNCIONÁRIOS PÚBLICOS DOS ESTADO DE SÃOPAULO	R FORMOSA,367 - 16 ANDAR	3338-0404/0338	CENTRO		4	6	609	355030866000003	3550308005003	66	REPUBLICA	9	SE	CENTRO	CENTRO	ACERVO SOBRE O MOVIMENTO CONSTIT. DE 1932				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ALCEU AMOROSO LIMA (TEMÁTICA EM POESIA - 02/09/2006)	R HENRIQUE SCHAUMANN, 777	3082-5023	PINHEIROS	05413-02	1	2	99	355030862000093	3550308005052	62	PINHEIROS	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19791211		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ALVARO GUERRA	R PEDROSO DE MORAIS, 1.919	3031-7784	PINHEIROS	05419-00	1	2	106	355030802000060	3550308005106	2	ALTO DE PINHEIROS	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19550515		ATENDE ÀS NORMAS	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ANNE FRANK	R COJUBA, 45	3078-6352	ITAIM		1	2	100	355030835000059	3550308005050	35	ITAIM BIBI	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	19460125	170	ATENDE ÀS NORMAS	NÃO
ESTADUAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	ARQUIVO DO ESTADO - BIBLIOTECA	R VOLUNTÁRIOS DA PSSTRIA, 596	6221-4785	SANTANA	01307-01	2	2	73	355030870000058	3550308005064	70	SANTANA	5	SANTANA-TUCURUVI	NORTE	NORTE 1					
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	ASSOCIAÇÃOO VIVA O CENTRO	R LÍBERO BADARO, 425 - 4 ANDAR	3556-8999	CENTRO		4	6	605	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	ARQUITETURA, URBANISMO, PATR. HIST. DE SP				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	AURELIANO LEITE	R OTTO SCHUBART, 196	6211-7716	PARQUE SÃO LUCAS	03238-03	1	2	43	355030872000014	3550308005081	72	SAO LUCAS	29	VILA PRUDENTE	LESTE	LESTE 1	BIBLIOTECA	19810708		ATENDE ÀS NORMAS	NÃO
MUNICIPAL	BIBLIOTECAS ESPECIALIZADAS	BANESPA (EDIFICIO MATARAZZO)	R DR FALCÒO FILHO. 56 - 10 ANDAR	3248/1033/1330/1660	CENTRO		1	6	610	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	DIÁRIOS OFICIAIS: DIVERSOS				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BARBOSA LIMA SOBRINHO CEU PARQUE SÃO  CARLOS	R CLAREAR, 141 - JDIM. SÃO  CARLOS	61454255	JARDIM SÃO CARLOS		1	2	30	355030887000129	3550308005195	87	VILA JACUI	23	SAO MIGUEL	LESTE	LESTE 2	CEU	20031203		SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BELMONTE (TEMÁTICA EM CULTURA POPULAR - 04/08/2007)	R PAULO EIRÓ, 525	5687-0408	SANTO AMARO	04754-01	1	2	110	355030871000031	3550308005173	71	SANTO AMARO	14	SANTO AMARO	SUL	SUL 2		19530125			
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BIBLIOTECA ADELPHA FIGUEIREDO	PC ILO OTANI, 146	2697-0013	CANINDE	03028-00	1	2	67	355030856000018	3550308005015	56	PARI	25	MOOCA	LESTE	LESTE 1	BIBLIOTECA	19661006		ATENDE ÀS NORMAS	SIM
ESTADUAL	BIBLIOTECAS ESPECIALIZADAS	BIBLIOTECA CENTRAL DA USP	CIDADE UNIVERSITÁRIA	818-5360	CIDADE UNIVERSITÁRIA	05508-90	2	6	120	355030812000038	3550308005105	12	BUTANTA	10	BUTANTA	OESTE	OESTE					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BIBLIOTECA DE BRAILE - CENTRO CULTURAL SÃO PAULO	R VERGUEIRO, 1.000	3397-4002	PARAÍSO	01504-00	1	2	83	355030849000103	3550308005008	49	LIBERDADE	9	SE	CENTRO	CENTRO	CENTRO CULTURAL	19470429		ATENDE ÀS NORMAS	NÃO
ESTADUAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BIBLIOTECA DE SÃO PAULO - PARQUE DA JUVENTUDE	AV CRUZEIRO DO SUL, 2630	2089-0800	SANTANA	02030-100	2	2	71	355030870000047	3550308005064	70	SANTANA	5	SANTANA-TUCURUVI	NORTE	NORTE 1					
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	BIBLIOTECA EMILIO RANGEL PESTANA - BOVESPA	R XV DE NOVEMBRO, 275 - SUBSOLO	3233-2130/2469	CENTRO		4	6	600	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	OBRAS RARAS SOBRE MERCADO DE AÇÕES E OUTROS				
PARTICULAR	BIBLIOTECAS ESPECIALIZADAS	BIBLIOTECA FEBRABAN	R LÍBERO BADARO, 425 - 22 ANDAR	3244-9849/9869	CENTRO		4	6	606	355030878000006	3550308005001	78	SE	9	SE	CENTRO	CENTRO	SISTEMA FINANCEIRO NACIONAL E INTERNACIONAL				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BIBLIOTECA JOSÉ PAULO PAES	LG DO ROSÁRIO, 20, 3 ANDAR	2296-6172	PENHA	03634-02	1	2	44	355030859000118	3550308005071	59	PENHA	21	PENHA	LESTE	LESTE 1	BIBLIOTECA, FAZ PARTE DO CENTRO CULTURAL DA PENHA			ATENDE ÀS NORMAS	NÃO
ESTADUAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	BIBLIOTECA PARQUE VILLA LOBOS	AV. PROF. FONSECA RODRIGUES, 2001	3024-2500	ALTO DE PINHEIROS		2	2	123	355030802000043	3550308005106	2	ALTO DE PINHEIROS	11	PINHEIROS	OESTE	OESTE	BIBLIOTECA	20141220			
MUNICIPAL	BIBLIOTECAS ESPECIALIZADAS	BIBLIOTECA UMAPAZ (UNIVERSIDADE LIVRE DO MEIO AMBIENTE E CULTURA DA PAZ) - SVMA	AV IV CENTENSSRIO, 1268 - PORTÃO 7		PARQUE IBIRAPUERA		1	6	615	355030832000011	3550308005049	32	MOEMA	12	VILA MARIANA	SUL	SUL 1	VERDE E MEIO AMBIENTE	20080502			
