eq_esfera	eq_tipo	eq_nome	eq_enderec	eq_telefon	eq_bairro	eq_cep	eq_cd_esfe	eq_cd_tipo	eq_id	eq_setcens	eq_ar_pond	eq_cd_dist	eq_distr	eq_cd_subp	eq_subpref	eq_regiao5	eq_regiao8	eq_espaco	eq_inaugur	eq_assento	eq_acessib	eq_estacio
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU GUARAPIRANGA	ES DA BARONESA, 1.120		JARDIM KAGOARA	04919-000	1	2	136	355030843000053	3550308005291	43	JARDIM ANGELA	18	M'BOI MIRIM	SUL	SUL 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU JACANÃ	R ANTONIO CEZAR NETO, 105		GUAPIRA	02276-000	1	2	57	355030881000113	3550308005133	81	TREMEMBE	6	JACANA-TREMEMBE	NORTE	NORTE 1	CEU				
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU JAGUARÉ	AV KENKITI SIMOMOTO, 80	3719-2343/2550	JAGUARÉ	5347-010	1	2	127	355030841000025	3550308005108	41	JAGUARE	8	LAPA	OESTE	OESTE	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU LAJEADO	R MANUEL DA MOTA COUTINHO, 293		LAJEADO - ZONA LESTE	08451-420	1	2	6	355030896000087	3550308005260	96	LAJEADO	28	GUAIANAZES	LESTE	LESTE 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU PARELHEIROS	R JOSÉ PEDRO DE BORBA, 20	5921-4479	JARDIM NOVO PARELHEIROS	04890-090	1	2	121	355030855000021	3550308005301	55	PARELHEIROS	20	PARELHEIROS	SUL	SUL 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU PARQUE BRISTOL	R PROFESSOR ARTHUR PRIMAVESI COM R ROUDÃO EUFRÁZIO LEAL		PARQUE BRISTOL	04177-070	1	2	66	355030868000150	3550308005088	68	SACOMA	13	IPIRANGA	SUL	SUL 1	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU QUINTA DO SOL	AV LUÍS IMPARATO COM AV OLAVO EGÍDIO DE SOUZA ARANHA		VILA CISPER - PENHA	03819-160	1	2	34	355030818000142	3550308005138	18	CANGAIBA	21	PENHA	LESTE	LESTE 1	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU SAPOPEMBA	R MANUEL QUIRINO DE MATTOS COM R VICTORIA MARCONATO SANTOS		JARDIM SAPOPEMBA	03969-000	1	2	33	355030876000170	3550308005209	76	SAPOPEMBA	29	VILA PRUDENTE	LESTE	LESTE 1	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU TIQUATIRA	AV CONDESSA ELIZABETH ROBIANO COM R KAMPALA, 270	2227-0516	PENHA	03704-015	1	2	45	355030880000153	3550308005036	59	TATUAPE	25	MOOCA	LESTE	LESTE 1					
MUNICIPAL	BIBLIOTECAS PÚBLICAS (INCLUI  BOSQUES E PONTOS DE LEITURA)	CEU VILA DO SOL	AV DOS FUNCIONÁRIOS PÚBLICOS, 369		JARDIM ÂNGELA	04962-000	1	2	143	355030843000272	3550308005289	43	JARDIM ANGELA	18	M'BOI MIRIM	SUL	SUL 2	CEU			SEM INFORMAÇÃO	SEM INFORMAÇÃO
